Date,Time,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2020/6/21,20:00:00,1.16344,6.79338,8.5773,No data,No data,271.2,3.5,13.8
2020/6/21,21:00:00,0.67221,8.37665,9.40736,No data,No data,255.3,3.6,12.8
2020/6/21,22:00:00,1.16344,15.56831,17.35223,No data,No data,250.4,4.4,11.6
2020/6/21,23:00:00,0.80148,10.55004,11.77896,No data,No data,248.2,4.5,10.9
2020/6/21,24:00:00,0.9049,7.58507,8.97257,No data,No data,248.7,4.6,10.4
2020/6/22,1:00:00,0.79286,5.63559,6.8513,No data,No data,232,2.9,10
2020/6/22,2:00:00,0.6205,4.58232,5.53374,No data,No data,248.9,4.2,9.6
2020/6/22,3:00:00,0.72392,6.2815,7.3915,No data,No data,247.2,3.9,9.1
2020/6/22,4:00:00,0.82734,7.15063,8.41919,No data,No data,248.5,3.8,8.7
2020/6/22,5:00:00,0.6205,4.85901,5.81043,No data,No data,252.1,4.2,9
2020/6/22,6:00:00,1.29271,6.35801,8.34014,No data,No data,252,4.1,9.8
2020/6/22,7:00:00,1.91321,6.98765,9.92121,No data,No data,241,3.9,10.8
2020/6/22,8:00:00,2.97324,6.35047,10.90937,No data,No data,227.8,3.8,12.6
2020/6/22,9:00:00,3.12836,8.04943,12.84618,No data,No data,233.2,4.1,14
2020/6/22,10:00:00,2.19761,6.31443,9.68405,No data,No data,222.3,4.8,15.6
2020/6/22,11:00:00,2.61128,8.40749,12.41139,No data,No data,219.3,5.4,16.9
2020/6/22,12:00:00,2.45615,9.9102,13.67625,No data,No data,222.8,5.5,17.1
2020/6/22,13:00:00,2.1459,8.88389,12.17423,No data,No data,218.4,4.4,16.9
2020/6/22,14:00:00,5.09329,9.81932,17.62892,No data,No data,219.9,4,17.1
2020/6/22,15:00:00,2.12005,9.79312,13.04382,No data,No data,205.3,3.6,17.3
2020/6/22,16:00:00,2.30103,11.68959,15.21779,No data,No data,174.6,2.8,17.5
2020/6/22,17:00:00,1.8098,10.90126,13.67625,No data,No data,203.5,5.3,19.2
2020/6/22,18:00:00,1.88736,12.67962,15.57353,No data,No data,194.5,4.3,18
2020/6/22,19:00:00,1.70638,12.00847,14.62489,No data,No data,194.9,4.6,17.5
2020/6/22,20:00:00,1.70638,12.20611,14.82252,No data,No data,197.3,5,17.1
2020/6/22,21:00:00,1.44784,11.73295,13.95293,No data,No data,215.7,5.1,15.9
2020/6/22,22:00:00,1.44784,9.79614,12.01612,No data,No data,224.4,5.5,15.1
2020/6/22,23:00:00,1.16344,10.50889,12.29281,No data,No data,228.8,5.6,14.6
2020/6/22,24:00:00,0.95661,5.84567,7.31244,No data,No data,234.8,4.8,14
2020/6/23,1:00:00,No data,No data,No data,No data,No data,227.2,3.7,13.8
2020/6/23,2:00:00,1.37889,14.06533,16.1796,No data,No data,232.6,3.5,13.1
2020/6/23,3:00:00,0.54294,7.23096,8.06345,No data,No data,237,3.2,12.4
2020/6/23,4:00:00,0.36196,2.64667,3.20167,No data,No data,245.4,2.3,11.8
2020/6/23,5:00:00,0.80148,6.67642,7.90534,No data,No data,236.7,2.1,12.2
2020/6/23,6:00:00,2.27517,15.40522,18.89377,No data,No data,246,4.9,14.5
2020/6/23,7:00:00,2.04249,11.49312,14.62489,No data,No data,243.6,5.3,15.2
2020/6/23,8:00:00,2.89568,8.40621,12.84618,No data,No data,242.1,5.3,16.3
2020/6/23,9:00:00,2.45615,6.62948,10.39553,No data,No data,238.6,5.5,17.6
2020/6/23,10:00:00,2.37859,5.83929,9.48641,No data,No data,232.4,5.4,19.2
2020/6/23,11:00:00,2.50786,5.48297,9.32831,No data,No data,223.5,5,20.5
2020/6/23,12:00:00,1.62882,4.26158,6.75907,No data,No data,213.8,4.9,21.6
2020/6/23,13:00:00,1.26686,3.67031,5.61279,No data,No data,203.7,5.2,22.5
2020/6/23,14:00:00,1.93907,4.02303,6.99623,No data,No data,202.3,5.2,22.7
2020/6/23,15:00:00,2.09419,5.80104,9.01209,No data,No data,200.2,5.1,23
2020/6/23,16:00:00,1.70638,7.02811,9.64452,No data,No data,199.6,4.9,23.2
2020/6/23,17:00:00,1.70638,9.91356,12.52997,No data,No data,200.1,4.9,23
2020/6/23,18:00:00,1.26686,10.07364,12.01612,No data,No data,201.2,4.5,22.6
2020/6/23,19:00:00,1.21515,11.4573,13.32051,No data,No data,192.9,3.2,21.8
2020/6/23,20:00:00,2.1459,27.50098,30.79132,No data,No data,179.1,2.5,20
2020/6/23,21:00:00,1.55126,36.83195,39.21051,No data,No data,178.5,2.5,18.4
2020/6/23,22:00:00,3.23178,44.76929,49.72461,No data,No data,188.9,2.9,17.3
2020/6/23,23:00:00,2.04249,39.20135,42.33312,No data,No data,199.5,2.9,16.5
2020/6/23,24:00:00,0.98246,34.50242,36.00884,No data,No data,198.8,2.2,15.7
2020/6/24,1:00:00,5.55004,28.69787,37.20782,No data,No data,170.5,2.2,15.7
2020/6/24,2:00:00,0.20683,22.08133,22.39848,No data,No data,189.8,2.7,14.9
2020/6/24,3:00:00,0.74977,23.1593,24.30893,No data,No data,206.3,2.4,15.2
2020/6/24,4:00:00,2.19761,25.72204,29.09167,No data,No data,171.3,2.4,14.7
2020/6/24,5:00:00,2.92153,20.34317,24.82278,No data,No data,151.2,1.6,14.2
2020/6/24,6:00:00,6.6704,27.0459,37.2737,No data,No data,148,1.7,14.1
2020/6/24,7:00:00,7.68733,26.42209,38.20916,No data,No data,133.1,1.5,14.8
2020/6/24,8:00:00,5.84306,23.3341,32.29333,No data,No data,140.5,2.2,18.9
2020/6/24,9:00:00,5.45525,22.66388,31.02848,No data,No data,158.7,3.2,21.6
2020/6/24,10:00:00,3.0508,19.74968,24.42751,No data,No data,154.2,3.7,22.9
2020/6/24,11:00:00,2.32688,17.73707,21.3049,No data,No data,146.1,3.7,23.6
2020/6/24,12:00:00,1.29271,13.19613,15.17826,No data,No data,143.5,3.8,24.4
2020/6/24,13:00:00,1.241,12.12914,14.03199,No data,No data,141.6,4.1,24.9
2020/6/24,14:00:00,1.62882,15.48717,17.98466,No data,No data,135.5,4.2,25.3
2020/6/24,15:00:00,1.11173,14.65943,16.36406,No data,No data,139,4.3,25.9
2020/6/24,16:00:00,0.77563,13.35655,14.54583,No data,No data,145.8,4.4,26
2020/6/24,17:00:00,1.39613,16.99023,19.13093,No data,No data,145.9,4.2,25.7
2020/6/24,18:00:00,0.9049,13.51408,14.90157,No data,No data,139.3,4,25.2
2020/6/24,19:00:00,0.95661,21.06345,22.53023,No data,No data,127,3.4,24
2020/6/24,20:00:00,0.38781,18.41771,19.01235,No data,No data,114.7,3.4,22
2020/6/24,21:00:00,0.27578,16.07296,16.49582,No data,No data,115.5,3.4,20
2020/6/24,22:00:00,0.05171,20.23745,20.31673,No data,No data,111.3,2.8,18.4
2020/6/24,23:00:00,0.33611,27.46956,27.98492,No data,No data,97.9,2.2,17
2020/6/24,24:00:00,0.15513,18.85355,19.09141,No data,No data,80.7,2.8,15.9
2020/6/25,1:00:00,0.13789,17.07492,17.28635,No data,No data,63.4,1.8,15
2020/6/25,2:00:00,0.41367,18.44395,19.07823,No data,No data,66.1,2.5,13.7
2020/6/25,3:00:00,0.18098,18.33959,18.61709,No data,No data,71.3,2.3,12.7
